isic_id,h1_mean_norm_entropy,h1_high_entropy,h2_mean_norm_entropy,h2_high_entropy
ISIC_0000070,0.33993313877244435,0.0,0.2680141670927407,0.0
ISIC_0000087,0.43651172052574305,0.0,0.2217411255523932,0.0
ISIC_0000097,0.11857808927836042,0.0,0.08179915052939737,0.0
ISIC_0000102,0.24709873466573837,0.0,0.22177971526955398,0.0
ISIC_0000103,0.4630066859092043,0.0,0.2293352902887909,0.0
ISIC_0000106,0.6251278069707086,1.0,0.3731299111688279,1.0
ISIC_0000124,0.2568620883527877,0.0,0.10027748756961097,0.0
ISIC_0000149,0.814277013374179,1.0,0.34572621251172664,1.0
ISIC_0000151,0.15080293823640006,0.0,0.1020301455167604,0.0
ISIC_0000161,0.23716434029061703,0.0,0.07615871801481436,0.0
ISIC_0000162,0.42619686969450454,0.0,0.12774009783497647,0.0
ISIC_0000195,0.16831233004984542,0.0,0.0567968394809449,0.0
ISIC_0000250,0.6086232037460818,1.0,0.23098298521169816,0.0
ISIC_0000266,0.05692087462606719,0.0,0.05221975093967908,0.0
ISIC_0000275,0.2562596373333118,0.0,0.1546072202083609,0.0
ISIC_0000279,0.25685668054079575,0.0,0.07937633514946088,0.0
ISIC_0000296,0.42308859227291606,0.0,0.39709969247454807,1.0
ISIC_0000321,0.18738399786348156,0.0,0.11845673779630601,0.0
ISIC_0000343,0.24880340225408606,0.0,0.0719711613491375,0.0
ISIC_0000348,0.35895460571910887,0.0,0.1945448973786495,0.0
ISIC_0000359,0.46792739194216226,0.0,0.250160316291402,0.0
ISIC_0000379,0.5270469697245503,0.0,0.2484935353447618,0.0
ISIC_0000385,0.5945890487653132,1.0,0.2538167344422983,0.0
ISIC_0000420,0.5913763468189625,1.0,0.30574541574750275,0.0
ISIC_0000424,0.1710148372237654,0.0,0.10137474242995506,0.0
ISIC_0000476,0.1566730949356629,0.0,0.10781239709215866,0.0
ISIC_0000493,0.449716992504576,0.0,0.24427518938978077,0.0
ISIC_0000504,0.1362613519958244,0.0,0.12185333281761042,0.0
ISIC_0000507,0.6483236432850213,1.0,0.33677752308404696,1.0
ISIC_0000527,0.06552403833562334,0.0,0.049842835122058504,0.0
ISIC_0000574,3.448456733757272e-05,0.0,3.5217038830765675e-05,0.0
ISIC_0000575,7.772768060345865e-05,0.0,5.480967061327915e-05,0.0
ISIC_0000583,1.1139376600698265e-06,0.0,6.090569265581535e-07,0.0
ISIC_0000587,1.0219029228725514e-08,0.0,1.8703372691991836e-08,0.0
ISIC_0000620,0.007025757475919159,0.0,0.018247078910926837,0.0
ISIC_0000653,2.5991992950971205e-08,0.0,4.4573515542424256e-08,0.0
ISIC_0000657,6.180931370059538e-05,0.0,3.828848129660026e-05,0.0
ISIC_0000671,9.683631527904487e-06,0.0,6.781855278491927e-06,0.0
ISIC_0000703,0.08182776431458605,0.0,0.09811958300799424,0.0
ISIC_0000710,1.3263422112602826e-05,0.0,6.2156879438220044e-06,0.0
ISIC_0000714,0.009069138981106322,0.0,0.015438066571426379,0.0
ISIC_0000758,1.0268890915464148e-06,0.0,3.3355737229257087e-07,0.0
ISIC_0000760,0.0012964299291660319,0.0,0.0017783500540607395,0.0
ISIC_0000775,8.510709197708224e-06,0.0,7.275867877509646e-06,0.0
